[00:00] はい、こんにちは、持ち尽きです。
[00:02] それで、ジャナリング、モーニングノート、色んな呼び方はありますけども、自分の頭の中をバーッと書き出して0になっていく、ノイズ0になる、そんなノートの書き方を教えていきたいと思います。
[00:18] まずはですね、A4の紙、A4でもB5でもノートでも何でもいいんですけど、縦に使っていきましょう。
[00:27] その時に、まずやっていただきたいこと、自分の身体感覚からまず書き出します。
[00:33] 多くの人が間違えるのは、自分の思考から書き出そうとしちゃうんですね。
[00:38] そうすると、思考から書き出そうとすると、余計なこと考えたり埋まってしまう、思考の埋まってしまう可能性があるので、身体感覚から書き出そう、書き出しましょうということですね。
[00:52] 僕の場合はですね、ちょっと眠いなぁ。
[01:03] その次に身体感覚をね、どんどんこう、例えば、まぁこんな風に体の感覚から書き出していって、首こってるわってね。
[01:12] そしたら、徐々に自分の思考とか感情とかが動いてくるのが分かるので、そっちを次にね、書いていきましょう。
[01:22] ただ、ルールだからといって、この順番で書かなきゃいけないってことは全然ないです。
[01:27] ただ、身体の感覚から書いていくと、身体の感覚から書き始めて徐々に、首項の方にシフトする意識を持っておくと、めっちゃ書きやすいです。
[01:39] まぁ僕は動画撮ってるんで、動画、動画撮ってるわ。
[01:44] そっから思い出すこともね、どんどん書いていきましょう。
[01:53] そのまま、これね、大事なことは、ノーストップで、次のことを思いつくまで、ノーストップでこの、書いていくんですよ。
[02:08] 例えば、旅行、あ、まじかだな、やばい、どうしようってなる時に、準備大丈夫かな、準備いいのかな。
[02:16] もう思いついたことの思考を、まず書き出して、そこに対して、どんどん自己評価が、自己評価のつぶやきとか、あとはなんでしょうね。
[02:42] ほんね。この辺がね、大事なんですよね。
[02:45] もう、もう頭の中に浮かんだら出していく。
[02:49] 今日はあれなんで、今日は。
[02:53] 思ったこと、今日は、うの教育の講座の日なんで、楽しみ。
[03:04] どうなるんだろう。みたいなこととか、まぁまぁまぁ、こう書いていく。
[03:11] ここに対して、まぁ、もう無いやと思ったら別に、別にほど考えたりとか、そういうのもいいんですけど。
[03:20] 頭の中で、なんか、ウェイトが高いもの。
[03:24] まぁ、僕の場合はじゃあ、ここのね、連絡しないといけない人がいるなぁ、みたいな。
[03:31] 教授にやらないと。
[03:33] あと、まぁ、自分の場合は、集客大丈夫かなぁ、みたいな。
[03:37] 思いがね、どんどん出てくるものを書いていきましょう。
[03:51] 信頼が損なわれるのやらなぁ、お客様にもっと、もうちょっと情報提供したいなぁ。
[04:10] とまぁね、こんな感じで、執行とか、ここに対するほんねをどんどん書いていきましょう。
[04:17] で、こういうようなほんねをこう書き出していく。
[04:21] これをですね、もう簡単に1ページ、まぁちょっと文字はでかいですけど、1ページいっちゃいますよね。
[04:26] で、これをまぁ、どうですね、3ページぐらいやっていくと。
[04:31] それぐらいやっていくっていうのを、まぁ毎朝起きたらすぐやる。
[04:35] これが理想的です。
[04:37] これによって、1番はポイントを伝えします。
[04:47] このジャナリングで一番大事なことは、フロー状態になることです。
[04:59] つまり、フローになって集中していくことが大事で、
[05:12] これなんでいいかっていうと、集中していると潜在式が出てくるからです。
[05:21] 潜在式はノイズの、まぁノイズの原因だったりとか、こう、隠されたほんね。
[05:41] こういったものが、アウトプトされると。
[05:43] そうすると、いわゆる上物、仏になりました。
[05:53] 消えます。
[05:55] ということが、まぁ非常に大事なので、まずフローになること。
[06:03] そして次に、脳内、頭の中の、頭の中の占有率が高いことを、
[06:22] あなたの頭の中の、その、ウェイトが高いものを全部書き出します。
[06:27] つまり、これによって我々の人生が支配されているんです。
[06:32] あなたの人生は。つまり、頭の中の占有率が高いこと。
[06:38] 例えば、一人の人間と、ちょっとこじれると、
[06:42] その人のこととの関係に全て持っていかれませんか、感情が。
[06:46] それは占有率が高くなってしまったということなんですよ。
[06:50] つまり、理想の状態、それは真空の状態なので、
[06:54] あなたの中の頭の占有率を全て下げていきたいんですよ。
[06:59] そして、どちらかというと、あなたの頭の中の占有率を自由にしたいんです。
[07:07] 例えば、植物に水をあげるとかね。
[07:12] そういったことの占有率が一番上に上がるくらい空っぽにしたいんですよ。
[07:18] だって、植物に水をあげるって、もちろんあげないといけないけど、
[07:25] どっちでもいいじゃないですか。今日でも明日でも。
[07:29] でも、何々さんに今すぐ返事しなきゃっていうのが頭の中にあると、
[07:34] それの占有率が高くなると、人生支配されちゃうんですよ。
[07:38] そういう意味で、どうでもいいことの頭の中の占有率が、
[07:44] 究極トップに来るくらい猫の世話、どうでもよくないですよ。
[07:48] ペットの世話をしましょうみたいなね。
[07:50] それくらいになれば、自由とか高まるんですよ。自分の人生。
[07:54] ただ、それで終わりではないです。
[07:56] その真空になるってことによって、あなたにとって本当に大事なことが頭に入ってくるよってことです。
[08:02] 今は皆さんはどうでもいいんだけど、緊急性の高いことが頭の中に入ってきているはずなんですよ。
[08:08] それをどうでもいいこと。
[08:12] どうでもいいんだけど緊急性も高くないことに切り替えていきましょう。
[08:18] 切り替えるというか、全部デトックスして、
[08:20] 最後、それぐらいが残るよねみたいな。
[08:23] どうしても切っても切り離せない、そういったものだけが残るよねって状態にしておくと、
[08:28] その分、真空ができますので、あなたの本当にやりたいことが入ってきやすい。
[08:33] というメカニズムになっているので、それを毎日やるためには、
[08:37] アウトプットして上物するだけなんですよ。
[08:43] これとブレインノートっていうのをまた組み合わせていただくといいんですけども、
[08:47] 今日は雑に自分の頭の中バーッて毎日出していくブーティーンだと思って、
[08:51] このジャナリングやってみてください。
