[00:00] はい、どうももつきです。
[00:02] オーダーノートを実践して、まるまる1ヶ月。
[00:05] 30日以上経ったという方は、この動画を見てください。
[00:08] 1ヶ月経ってない方は、まだ見るのを控えてください。
[00:12] さあ、オーダーノートを実践したというのは、書き始めて、
[00:15] もしくは講座に入って1ヶ月ということですね。
[00:17] 別に、1ヶ月2ヶ月経っていたら、この動画を見ていただいて大丈夫です。
[00:21] 今日は、オーダーの健康診断やっていきましょう。
[00:24] どういうことかというと、皆さん、僕、オーダーノートにこれを書いてくれって言ったのを覚えてます?
[00:29] 覚えてますよね。
[00:33] 日付です。書いた日付。
[00:35] で、書いた日付を何で書くかというと、こういう意味もあるんだよという話なんですけども、
[00:39] 必ず何月何日って書いていただきたいんですね。
[00:42] 何時に書いたかという時刻は、まあ、どっちでもいいです。
[00:45] なんですけど、時間は必ず書いていただきたい。
[00:48] それで、今までの直近1ヶ月とか、振り返れる人は、
[00:51] 過去3ヶ月振り返ってみてほしいんですよ。
[00:54] さて、1ヶ月に、どれぐらいオーダーしてますか?
[00:57] っていうのを書いてみてください。
[00:59] この場合は、オーダー以外はカウントしなくていいです。
[01:03] 例えば、不安な感情を出したとか、アウトブッドに使ったというのは、
[01:07] カウントしなくていいです。
[01:09] 宇宙にお願いした、オーダーした、周波数、エネルギー、物質、
[01:13] 全てオーダーした、こういったものは、数えてもらってOKです。
[01:17] これで、どれぐらい1ヶ月に書いているか?
[01:20] 3ヶ月振り返った方は、3ヶ月で平均月に何個ぐらいオーダーしているか?
[01:25] というのをカウントしてみてください。
[01:27] そのオーダーした数によって、新たにとってのオーダーに対する、
[01:31] 宇宙に対する付き合い方が見えてきます。
[01:33] さて、ゼロだった方、申し訳ないけど、出直してきてください。
[01:37] という感じなんですよね。
[01:38] これが、森さんに言い方がきついんですけども、
[01:40] 相当危機感持ってください。
[01:42] 相当危機感。
[01:43] どういうことかというと、
[01:45] オーダーノードの講座に入ってくれているってこともあるじゃないですか。
[01:48] プラス、別にそんなことがなくても、オーダーを使ってないってことなんですよ。
[01:52] つまり、ジムに通ってて、筋トレしてないってことなんですよ。
[01:55] 動画学んでも、講座来てても、オーダーをしてなかったら、
[01:58] 健康に関する、筋トレに関するレクチャーを受けて、
[02:02] 運動してません。
[02:03] 食事取ってません。
[02:04] というと、一緒なんですよね。
[02:05] だから、オーダーがゼロかい。
[02:07] このノートだけじゃなくても、
[02:08] もちろん、メモ帳とかのに関して、
[02:11] ちょっとオーダーしたことも含めて、
[02:13] オーダーノートに集約した方がいいんですけど、
[02:15] それも含めて、ゼロだった場合はちょっとやばい。
[02:19] で、3回の方。
[02:20] 3回の方も、ちょっとこさによるんですけどね。
[02:23] こさによるんですけど、
[02:24] 簡単な帳勢3個とか、
[02:26] 例えばライブのチケットに対して書いたとかね。
[02:29] そういうちょっと簡単なことだったら、
[02:31] 3個は少ないと思ってください。
[02:33] で、例えば人生に対して、
[02:37] 大きな影響を与える。
[02:38] 例えば、引っ越し、
[02:39] ビジネスの方向性とか、
[02:42] ビジネスパートナーの引き寄せとか、
[02:44] ちょっとこう、人生が大きく変わるような
[02:46] 引き寄せは、
[02:47] まあ、5ポイントだと思ってください。
[02:48] 5ポイント。
[02:49] で、ちょっとしたオーダー、
[02:50] エネルギーの引き寄せ、
[02:52] 感情の引き寄せみたいな、
[02:54] そうですね。
[02:55] 自己完結するようなものとか、
[02:57] 簡単にちょっと手が届きそうなもの。
[02:59] っていうのは、
[03:00] 1ポイント。
[03:01] みたいな風に思ってください。
[03:02] はい。
[03:03] まあ、簡単な臨時収入とかっていうのも1ポイント。
[03:05] って言った時に、
[03:06] 3ポイント以下は、
[03:08] ちょっとやばい。
[03:10] ちょっとやばい。
[03:11] マジで、危機感を持ってください。
[03:12] どう危機感を持つかっていうと、
[03:13] 好きに必ず、
[03:15] 5ポイント以上は、
[03:17] 強制的に取るようにしてみてください。
[03:19] それでは、簡単な引き寄せ5個でいいです。
[03:21] 周囲1回でいいです。
[03:22] で、もしくは、
[03:23] 1個でもいいです。
[03:24] ちょっと人生が変わるような大きな引き寄せを
[03:26] 1個、
[03:27] やってみてください。
[03:28] でも、大きな引き寄せっていうのは、
[03:30] 1回のオーダーで終わることはないですよね。
[03:32] 1回のオーダーで、
[03:33] 周波数のオーダー、
[03:35] 象徴化のオーダー、
[03:36] 現実化のオーダーです。
[03:37] 少なくとも3回は、
[03:38] ノートに書くことになると思います。
[03:40] なので、
[03:41] 大きな引き寄せは、
[03:42] 一業者は終わりません。
[03:43] だから、別に、
[03:44] 1か月単位でやっても大丈夫です。
[03:46] だけど、
[03:47] 小さな引き寄せは、
[03:48] 5個以上は、
[03:49] やらなきゃいけない。
[03:50] 本当は、
[03:51] 小さな引き寄せは、
[03:52] 5個。
[03:53] 大きな引き寄せは、1個。
[03:54] で、10ポイントは、
[03:55] とってください。
[03:56] 10ポイント。
[03:57] 10ポイントとれたら、
[03:58] 合格っていうと変ですけど、
[03:59] 適切な筋トレができているようなもんですね。
[04:01] はい。
[04:02] で、オーダー力ってね、
[04:03] 使わないと退化するので、
[04:05] オーダーしていかないと、
[04:07] 人間ゲームになるんですよ。
[04:08] 宇宙と一体化して、
[04:10] 宇宙と人間と
[04:11] 一緒にやっていくゲームじゃなくて、
[04:13] 人間努力ゲームになるんですよ。
[04:15] それがやりたかったら、
[04:16] 別にいいんですよ。
[04:17] だけど、
[04:18] それやりたくないから、
[04:19] 引き寄せ学ぼうって、
[04:20] オーダーノート学ぼうって
[04:21] 思ったんじゃないですか。
[04:22] なので、
[04:23] それを、
[04:24] もしできてないと思ったら、
[04:25] ちょっと危機感を持って、
[04:27] 5ポイント以上取る。
[04:29] できれば、
[04:30] 10ポイント以上取る。
[04:31] っていうことを、
[04:32] やってみてください。
[04:33] そして、
[04:34] 10ポイント以上取れている方、
[04:35] 素晴らしいです。
[04:37] やってますね。
[04:38] で、大体ペースとしては、
[04:39] 必ず毎月、
[04:40] 1回。
[04:41] もしくは、
[04:42] 月に2回、
[04:43] 2週間2回、
[04:44] 1週間2回は、
[04:45] 必ず書いている。
[04:46] 振り返りをしているって
[04:47] 状態は、
[04:48] 素晴らしい店舗だと思います。
[04:50] もしこれね、
[04:51] 3週間以上、
[04:52] 間が合いちゃってたとしたら、
[04:53] ちょっと、
[04:54] 人間がんばっちゃったねって
[04:55] 時期なんですよ。
[04:56] 振り返ってみてください。
[04:57] オーダーをしていない時期って、
[04:59] 人間がんばってる。
[05:00] まあ、ちょっと、
[05:01] 苦しんでる、
[05:02] 悩んでる、
[05:03] 人にも相談できない、
[05:04] っていう時期だったりするんですよ。
[05:05] それも、
[05:06] 分かってくるんで、
[05:07] オーダーによって、
[05:08] メモしていく、
[05:09] その、
[05:10] 日付を刻んでいくってのは、
[05:11] 自分の、
[05:12] 魂の健康管理にも
[05:13] つながります。
[05:14] これ、
[05:15] 前のシンクロニーシティで
[05:16] 語ったものと、
[05:17] すごく似てくるんですけども、
[05:18] シンクロが、
[05:19] 起き始めなくなってくる。
[05:21] そして、
[05:22] オーダーしていかないと、
[05:23] そこが、
[05:24] フラストレーションが
[05:25] 溜まっていく。
[05:26] オーダー力が大化する。
[05:27] ってね、
[05:28] 悪いことが、
[05:29] あります。
[05:30] なので、
[05:31] まあ、
[05:32] 15ポイントくらい取れたら
[05:33] ベリーグッド、
[05:34] っていう感じですね。
[05:35] そして、
[05:36] 次、
[05:37] はい、次まだあります。
[05:38] はい、
[05:39] 30ポイント取っている人、
[05:41] 気をつけてください。
[05:43] これはね、
[05:44] オーダーに、
[05:45] 依存しすぎの可能性があります。
[05:47] オーダーに依存しすぎ。
[05:48] ちょっと、
[05:49] 終着があるんですよ、
[05:50] オーダーに。
[05:51] で、
[05:52] これは、
[05:53] 30ポイント以上
[05:54] 取っちゃダメってわけじゃないんですよ。
[05:55] だけど、
[05:56] 30ポイントの
[05:57] ちょっと、
[05:58] 内訳を見ていただきたいんです。
[05:59] 簡単なオーダーを
[06:00] 30回以上やっている方、
[06:02] それは確実に、
[06:03] 何かから逃げてます。
[06:05] 確実に。
[06:06] 大きな、
[06:07] 引き寄せを
[06:08] 6個やっている人って、
